Year,Jurisdiction,Type of professional,Workforce_ number_of_nurses,Workforce_ employed_full time,Workforce_ employed_part_time,Workforce_ employed _casual,Workforce__employed_status_unknown,Workforce_place of work__hospital,Workforce_ place of work_ community health,Workforce_ place of work_ nursing home/LTC,Workforce_ place of work_ other,Workforce_ place of work_ not stated,Workforce_ position_ staff nurse,Workforce_ position_ manager,Workforce_ position_ other,Workforce_ position_ not stated,Workforce_ area of responsibility_ direct care,Workforce_ area of responsibility_ administration,Workforce_ area of responsibility_ education,Workforce_ area of responsibility_ research,Workforce_ area of responsibility_ not stated,Workforce_ geography_ urban,Workforce_ geography_ rural/remote,Workforce_ geography_ not stated
2015,Ontario,Nurse practitioners,"2,405","1,961",384,60,0,957,686,52,710,0,105,39,"2,261",0,"2,354",20,31,0,0,"2,097",308,0
2015,Manitoba,Nurse practitioners,148,85,56,5,2,28,85,3,31,1,7,1,139,1,126,2,12,6,2,111,37,0
2015,Saskatchewan,Nurse practitioners,172,133,25,14,0,22,122,3,15,10,1,1,160,10,157,2,3,0,10,78,94,0
2015,Alberta,Nurse practitioners,377,283,70,20,4,213,79,8,70,7,40,4,327,6,320,5,14,1,37,356,20,1
2015,British Columbia,Nurse practitioners,236,181,33,22,0,67,119,7,39,4,14,0,218,4,202,3,7,0,24,201,35,0
2015,Yukon,Nurse practitioners,5,5,0,0,0,0,3,1,1,0,0,0,5,0,3,0,2,0,0,5,0,0
2015,Northwest Territories/Nunavut,Nurse practitioners,45,0,0,0,0,8,30,0,7,0,0,0,45,0,39,0,0,0,0,0,0,0
2016,Newfoundland and Labrador,Nurse practitioners,148,120,7,21,0,60,47,10,31,0,11,2,135,0,137,3,8,0,0,88,60,0
2016,Prince Edward Island,Nurse practitioners,22,17,2,3,0,3,14,2,3,0,3,0,19,0,21,0,1,0,0,15,7,0
2016,Nova Scotia,Nurse practitioners,141,125,13,3,0,58,60,2,21,0,4,0,137,0,134,1,5,1,0,88,53,0
2016,New Brunswick,Nurse practitioners,113,90,12,11,0,35,60,6,12,0,16,2,95,0,107,1,5,0,0,66,47,0
2016,Quebec,Nurse practitioners,378,356,20,2,0,144,192,31,9,2,9,3,366,0,370,4,4,0,0,305,73,0
2016,Ontario,Nurse practitioners,"2,646","2,132",456,58,0,"1,041",730,56,819,0,124,36,"2,486",0,"2,576",33,37,0,0,"2,291",353,2
2016,Manitoba,Nurse practitioners,162,93,62,7,0,29,102,3,27,1,5,2,154,1,138,2,14,7,1,122,40,0
2016,Saskatchewan,Nurse practitioners,192,149,26,17,0,23,133,6,18,12,1,2,177,12,175,1,4,0,12,90,102,0
2016,Alberta,Nurse practitioners,427,265,99,3,60,228,101,17,78,3,16,2,406,3,398,7,8,1,13,397,25,5
2016,British Columbia,Nurse practitioners,269,202,38,26,3,88,137,7,35,2,20,5,242,2,224,5,5,0,35,229,38,2
2016,Yukon,Nurse practitioners,4,2,2,0,0,1,1,1,1,0,1,0,3,0,4,0,0,0,0,4,0,0
2016,Northwest Territories/Nunavut,Nurse practitioners,38,29,0,9,0,0,18,0,15,0,0,0,30,0,32,0,0,0,0,0,0,0
2017,Newfoundland and Labrador,Nurse practitioners,163,129,11,23,0,66,54,11,32,0,8,2,153,0,151,4,8,0,0,98,65,0
2017,Prince Edward Island,Nurse practitioners,24,18,3,3,0,4,15,1,4,0,3,0,21,0,23,0,1,0,0,15,9,0
2017,Nova Scotia,Nurse practitioners,157,130,15,12,0,67,67,2,21,0,11,0,146,0,149,2,5,1,0,103,54,0
2017,New Brunswick,Nurse practitioners,121,100,12,9,0,32,69,6,14,0,12,4,105,0,113,1,7,0,0,71,50,0
2017,Quebec,Nurse practitioners,431,407,23,1,0,157,229,32,10,3,5,4,422,0,420,5,6,0,0,353,78,0
2017,Ontario,Nurse practitioners,"2,855","2,207",560,88,0,"1,141",779,80,855,0,150,39,"2,666",0,"2,792",22,41,0,0,"2,505",347,3
2017,Manitoba,Nurse practitioners,167,96,67,4,0,25,106,4,29,3,1,3,159,4,153,4,6,0,4,126,41,0
2017,Saskatchewan,Nurse practitioners,204,152,33,19,0,27,142,4,23,8,1,3,192,8,189,2,5,0,8,97,107,0
2017,Alberta,Nurse practitioners,462,322,130,10,0,240,107,19,92,4,19,2,437,4,424,9,14,2,13,435,27,0
2017,British Columbia,Nurse practitioners,322,227,58,37,0,109,153,8,52,0,24,2,296,0,309,5,8,0,0,279,41,2
2017,Yukon,Nurse practitioners,6,4,2,0,0,0,2,1,3,0,0,0,6,0,6,0,0,0,0,5,0,1
2017,Northwest Territories/Nunavut,Nurse practitioners,55,43,0,12,0,0,36,0,15,0,5,7,41,2,46,5,0,0,0,0,0,0
2018,Newfoundland and Labrador,Nurse practitioners,164,134,10,20,0,71,46,16,31,0,6,6,152,0,153,3,8,0,0,102,62,0
2018,Prince Edward Island,Nurse practitioners,28,21,2,5,0,3,17,3,5,0,1,0,27,0,26,1,1,0,0,16,12,0
2018,Nova Scotia,Nurse practitioners,175,147,15,13,0,70,80,3,22,0,14,2,159,0,165,3,7,0,0,119,55,1
2018,New Brunswick,Nurse practitioners,126,103,13,10,0,32,75,4,15,0,13,1,112,0,121,1,4,0,0,72,54,0
2018,Quebec,Nurse practitioners,503,475,26,2,0,170,285,29,19,0,7,6,490,0,481,10,10,0,2,415,88,0
2018,Ontario,Nurse practitioners,"3,032","2,352",580,100,0,"1,175",820,102,935,0,141,30,"2,858",3,"2,949",19,59,0,5,"2,675",357,0
2018,Manitoba,Nurse practitioners,174,97,62,14,1,27,105,4,38,0,4,2,168,0,167,1,6,0,0,134,40,0
2018,Saskatchewan,Nurse practitioners,215,150,39,26,0,27,141,4,28,15,2,3,195,15,194,2,4,0,15,103,112,0
2018,Alberta,Nurse practitioners,504,347,143,12,2,251,132,27,94,0,18,7,479,0,475,9,9,1,10,476,28,0
2018,British Columbia,Nurse practitioners,356,256,65,35,0,109,186,8,53,0,12,2,342,0,343,7,6,0,0,313,43,0
2018,Yukon,Nurse practitioners,8,5,2,1,0,3,4,1,0,0,1,0,6,1,7,0,0,0,1,6,0,2
2018,Northwest Territories/Nunavut,Nurse practitioners,50,36,0,14,0,5,31,0,14,0,5,8,37,0,44,0,0,0,0,0,0,0
2019,Newfoundland and Labrador,Nurse practitioners,180,156,7,17,0,77,54,19,30,0,9,10,161,0,171,2,7,0,0,107,73,0
2019,Prince Edward Island,Nurse practitioners,38,32,3,3,0,4,17,4,13,0,2,0,36,0,36,1,1,0,0,22,14,2
2019,Nova Scotia,Nurse practitioners,201,169,19,13,0,74,100,3,24,0,15,1,185,0,192,2,7,0,0,140,59,2
2019,New Brunswick,Nurse practitioners,135,110,16,9,0,32,79,5,19,0,8,2,125,0,130,0,5,0,0,79,56,0
2019,Quebec,Nurse practitioners,542,506,30,6,0,169,309,33,31,0,8,14,520,0,519,14,9,0,0,448,94,0
2019,Ontario,Nurse practitioners,"3,273","2,510",655,108,0,"1,261",867,96,"1,048",1,152,33,"3,086",2,"3,185",24,58,0,6,"2,893",378,2
2019,Manitoba,Nurse practitioners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Saskatchewan,Nurse practitioners,232,161,46,25,0,32,162,7,31,0,9,2,221,0,225,1,6,0,0,110,121,1
2019,Alberta,Nurse practitioners,549,371,159,18,1,274,150,23,102,0,27,5,517,0,530,7,11,1,0,514,35,0
2019,British Columbia,Nurse practitioners,472,334,110,28,0,126,250,10,72,14,11,2,447,12,420,8,9,0,35,414,57,1
2019,Yukon,Nurse practitioners,10,4,4,2,0,1,5,2,2,0,0,0,10,0,10,0,0,0,0,0,0,0
2019,Northwest Territories/Nunavut,Nurse practitioners,45,32,0,13,0,8,26,0,10,1,5,5,35,0,38,0,0,0,0,0,0,0
2020,Newfoundland and Labrador,Nurse practitioners,189,166,7,16,0,77,60,18,34,0,9,7,173,0,180,1,8,0,0,117,69,3
2020,Prince Edward Island,Nurse practitioners,45,41,2,2,0,4,20,4,17,0,1,0,44,0,42,2,1,0,0,25,19,1
2020,Nova Scotia,Nurse practitioners,209,176,25,8,0,76,103,3,27,0,6,2,201,0,199,3,7,0,0,144,60,5
2020,New Brunswick,Nurse practitioners,144,113,16,15,0,31,90,4,19,0,13,1,130,0,139,0,5,0,0,86,58,0
2020,Quebec,Nurse practitioners,679,627,44,8,0,220,385,33,41,0,7,12,660,0,655,12,12,0,0,579,100,0
2020,Ontario,Nurse practitioners,"3,454","2,631",710,113,0,"1,325",933,100,"1,096",0,138,33,"3,260",23,"3,333",32,67,0,22,"3,064",388,2
2020,Manitoba,Nurse practitioners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Saskatchewan,Nurse practitioners,226,159,43,24,0,26,139,7,31,23,0,0,203,23,196,3,4,0,23,122,103,1
2020,Alberta,Nurse practitioners,568,368,175,25,0,276,156,26,110,0,24,4,540,0,549,6,12,1,0,528,40,0
2020,British Columbia,Nurse practitioners,505,356,115,34,0,116,275,13,99,2,7,7,490,1,485,11,7,0,2,446,56,3
2020,Yukon,Nurse practitioners,14,9,4,1,0,1,10,0,3,0,4,0,10,0,14,0,0,0,0,0,0,0
2020,Northwest Territories/Nunavut,Nurse practitioners,53,18,6,29,0,0,32,0,0,6,0,0,41,6,40,0,0,0,6,0,0,0
2021,Newfoundland and Labrador,Nurse practitioners,205,176,16,13,0,85,67,18,35,0,17,4,184,0,194,1,10,0,0,135,67,3
2021,Prince Edward Island,Nurse practitioners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nova Scotia,Nurse practitioners,228,195,24,9,0,81,112,2,33,0,9,1,218,0,221,1,6,0,0,155,68,5
2021,New Brunswick,Nurse practitioners,152,120,17,15,0,22,98,4,28,0,9,0,143,0,146,0,6,0,0,95,54,3
2021,Quebec,Nurse practitioners,939,877,47,15,0,310,515,45,59,10,20,16,903,0,910,16,13,0,0,811,128,0
2021,Ontario,Nurse practitioners,"3,649","2,778",734,137,0,"1,371",977,118,"1,183",0,149,33,"3,466",1,"3,544",37,66,0,2,"3,243",404,2
2021,Manitoba,Nurse practitioners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Saskatchewan,Nurse practitioners,240,169,50,21,0,25,141,8,45,21,2,1,216,21,209,4,6,0,21,138,102,0
2021,Alberta,Nurse practitioners,599,378,182,39,0,295,157,31,116,0,30,6,563,0,573,9,15,2,0,557,41,1
2021,British Columbia,Nurse practitioners,629,451,134,39,5,139,338,10,129,13,5,7,609,8,577,11,11,0,30,566,58,5
2021,Yukon,Nurse practitioners,22,13,8,1,0,1,8,4,9,0,1,0,21,0,22,0,0,0,0,0,0,0
2021,Northwest Territories/Nunavut,Nurse practitioners,61,26,5,30,0,0,31,0,0,10,0,0,44,10,45,0,0,0,10,0,0,0
2022,Newfoundland and Labrador,Nurse practitioners,229,191,18,20,0,93,76,15,45,0,12,8,209,0,218,3,8,0,0,152,74,3
2022,Prince Edward Island,Nurse practitioners,58,36,21,0,1,7,36,5,10,0,3,0,55,0,54,3,1,0,0,43,14,1
2022,Nova Scotia,Nurse practitioners,258,220,21,17,0,92,125,3,38,0,6,1,251,0,251,1,6,0,0,176,80,2
2022,New Brunswick,Nurse practitioners,161,128,15,18,0,28,107,5,21,0,7,2,152,0,158,0,3,0,0,108,53,0
2022,Quebec,Nurse practitioners,"1,172","1,090",63,19,0,0,0,0,0,0,18,25,"1,129",0,"1,133",25,14,0,0,"1,012",159,1
2022,Ontario,Nurse practitioners,"3,896","2,951",795,150,0,"1,469","1,078",119,"1,230",0,140,46,"3,709",1,"3,797",31,68,0,0,"3,461",434,1
2022,Manitoba,Nurse practitioners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Saskatchewan,Nurse practitioners,263,179,53,31,0,29,160,7,47,20,2,1,240,20,236,3,4,0,20,149,113,1
2022,Alberta,Nurse practitioners,613,368,187,42,16,283,170,33,127,0,37,5,571,0,581,10,19,3,0,562,50,1
2022,British Columbia,Nurse practitioners,729,507,174,46,2,141,434,9,133,12,5,5,713,6,665,8,10,0,46,654,68,7
2022,Yukon,Nurse practitioners,20,12,6,2,0,4,7,3,6,0,0,0,20,0,20,0,0,0,0,0,0,0
2022,Northwest Territories/Nunavut,Nurse practitioners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Newfoundland and Labrador,Registered nurses,"5,947","4,286",811,850,0,"4,032",794,485,636,0,"4,605",811,506,25,"5,249",343,262,41,52,"4,467","1,480",0
2013,Prince Edward Island,Registered nurses,"1,566",827,529,210,0,920,60,221,365,0,"1,158",142,266,0,"1,364",113,84,5,0,"1,047",501,18
2013,Nova Scotia,Registered nurses,"9,019","5,777","2,177","1,064",1,"5,910","1,070","1,116",910,13,"6,941",910,"1,145",23,"7,931",594,406,87,1,"6,680","2,278",61
2013,New Brunswick,Registered nurses,"8,088","5,224","2,038",826,0,"5,425","1,050",846,767,0,"6,493","1,001",594,0,"7,090",588,373,37,0,"6,481","1,607",0
2013,Quebec,Registered nurses,"67,716","39,862","21,754","6,046",54,"38,365","7,800","7,645","13,859",47,"54,208","3,622","9,798",88,"58,555","5,049","2,664",933,515,"60,450","7,224",42
2013,Ontario,Registered nurses,"94,099","62,547","24,559","6,993",0,"60,269","15,855","7,870","10,105",0,"71,026","5,322","17,751",0,"85,294","6,634","2,102",0,69,"88,748","5,323",28
2013,Manitoba,Registered nurses,"12,070","5,576","5,339",980,175,"7,329","1,914","1,399","1,370",58,"9,031",854,"2,055",130,"9,511",920,"1,137",419,83,"9,498","2,570",2
2013,Saskatchewan,Registered nurses,"10,102","5,967","2,741","1,388",6,"6,022","1,769","1,109","1,172",30,"8,098",624,"1,352",28,"9,129",438,475,31,29,"8,078","1,929",95
2013,Alberta,Registered nurses,"31,771","12,791","14,515","4,465",0,"16,011","4,146","1,678","3,355","6,581","18,797","2,163","3,771","7,040","22,247","1,027",956,210,"7,331","28,675","3,019",77
2013,British Columbia,Registered nurses,"31,593","15,166","7,164","9,260",3,"20,501","4,878","2,229","2,808","1,177","24,738","2,353","4,316",186,"28,196","1,315","1,664",229,189,"29,267","2,220",106
2013,Yukon,Registered nurses,382,172,136,72,2,182,129,28,42,1,301,40,40,1,339,28,13,1,1,281,99,2
2013,Northwest Territories/Nunavut,Registered nurses,"1,086",565,0,404,117,463,433,22,159,9,768,128,148,42,944,57,26,20,39,0,0,0
2014,Newfoundland and Labrador,Registered nurses,"5,933","4,193",791,949,0,"3,995",797,455,639,47,"4,599",760,521,53,"5,226",330,256,39,82,"4,483","1,450",0
2014,Prince Edward Island,Registered nurses,"1,537",812,520,205,0,902,61,212,362,0,"1,136",136,265,0,"1,337",115,79,6,0,"1,032",485,20
2014,Nova Scotia,Registered nurses,"9,162","5,990","2,098","1,071",3,"6,063","1,073","1,080",938,8,"7,074",886,"1,194",8,"8,127",541,404,86,4,"6,790","2,304",68
2014,New Brunswick,Registered nurses,"7,986","5,057","2,021",908,0,"5,350","1,014",857,765,0,"6,451",971,564,0,"7,028",556,370,32,0,"6,366","1,617",3
2014,Quebec,Registered nurses,"68,321","40,527","21,992","5,756",46,"39,049","7,635","7,402","14,172",63,"54,883","3,521","9,808",109,"59,347","4,935","2,694",910,435,"61,103","7,154",64
2014,Ontario,Registered nurses,"95,458","63,549","25,048","6,861",0,"60,847","16,224","7,841","10,546",0,"72,182","5,540","17,736",0,"86,488","6,777","2,116",0,77,"90,116","5,314",28
2014,Manitoba,Registered nurses,"12,148","5,545","5,511","1,012",80,"7,455","1,922","1,407","1,304",60,"9,157",840,"2,012",139,"9,588",904,"1,065",411,180,"9,638","2,505",5
2014,Saskatchewan,Registered nurses,"10,179","5,919","2,696","1,521",43,"6,008","1,854","1,055","1,196",66,"8,108",605,"1,400",66,"9,240",322,510,37,70,"8,187","1,972",20
2014,Alberta,Registered nurses,"32,050","17,288","9,592","4,330",840,"20,348","5,004","2,033","3,930",735,"24,055","2,330","4,752",913,"27,556","1,114","1,118",229,"2,033","28,827","2,648",575
2014,British Columbia,Registered nurses,"32,249","15,206","7,075","9,797",171,"21,095","4,816","2,060","2,665","1,613","25,523","2,368","4,196",162,"29,031","1,277","1,563",216,162,"29,916","2,214",119
2014,Yukon,Registered nurses,394,183,154,53,4,193,125,29,47,0,312,35,47,0,349,33,11,1,0,290,104,0
2014,Northwest Territories/Nunavut,Registered nurses,"1,063",785,0,201,77,449,435,26,148,5,740,157,131,35,940,48,28,13,34,0,0,0
2015,Newfoundland and Labrador,Registered nurses,"5,936","4,199",764,973,0,"4,063",792,462,619,0,"4,674",764,491,7,"5,312",338,254,32,0,"4,504","1,431",1
2015,Prince Edward Island,Registered nurses,"1,523",778,528,217,0,886,71,209,357,0,"1,130",128,265,0,"1,336",111,74,2,0,"1,012",487,24
2015,Nova Scotia,Registered nurses,"9,153","6,042","2,041","1,067",3,"6,080","1,067","1,059",941,6,"7,076",860,"1,210",7,"8,228",451,392,78,4,"6,823","2,259",71
2015,New Brunswick,Registered nurses,"7,855","4,897","2,004",954,0,"5,295",990,825,745,0,"6,347",969,539,0,"6,935",533,354,33,0,"6,280","1,575",0
2015,Quebec,Registered nurses,"68,435","40,911","22,089","5,402",33,"41,849","8,820","8,581","9,110",75,"55,350","3,367","9,674",44,"59,746","4,702","2,683",879,425,"61,166","7,194",75
2015,Ontario,Registered nurses,"95,659","63,674","25,169","6,816",0,"61,061","16,191","7,871","10,536",0,"72,496","5,473","17,690",0,"86,757","6,670","2,159",0,73,"90,332","5,316",11
2015,Manitoba,Registered nurses,"12,165","5,590","5,514",976,85,"7,434","1,930","1,436","1,291",74,"9,228",834,"2,003",100,"9,760",937,"1,027",400,41,"9,631","2,524",10
2015,Saskatchewan,Registered nurses,"10,054","5,921","2,730","1,403",0,"5,953","1,756",989,"1,132",224,"7,955",556,"1,322",221,"9,030",288,483,30,223,"8,156","1,884",14
2015,Alberta,Registered nurses,"33,773","17,443","10,827","5,188",315,"21,890","5,213","2,068","3,825",777,"25,563","2,267","4,888","1,055","29,736","1,054","1,070",213,"1,700","30,892","2,764",117
2015,British Columbia,Registered nurses,"33,545","18,459","9,241","5,765",80,"21,646","5,344","2,419","3,521",615,"25,984","2,595","4,370",596,"29,138","1,304","1,659",225,"1,219","31,559","1,916",70
2015,Yukon,Registered nurses,392,192,143,57,0,214,109,29,40,0,305,37,50,0,345,35,11,1,0,306,70,16
2015,Northwest Territories/Nunavut,Registered nurses,980,705,0,275,0,381,457,18,119,5,735,146,94,5,892,48,26,9,5,0,0,0
2016,Newfoundland and Labrador,Registered nurses,"5,901","4,206",752,943,0,"3,982",822,455,642,0,"4,619",773,509,0,"5,268",358,247,28,0,"4,502","1,398",1
2016,Prince Edward Island,Registered nurses,"1,517",801,511,205,0,879,63,215,360,0,"1,115",120,282,0,"1,318",124,72,3,0,"1,011",486,20
2016,Nova Scotia,Registered nurses,"9,111","6,032","1,943","1,131",5,"6,146",982,"1,040",943,0,"7,112",808,"1,191",0,"8,206",434,395,76,0,"6,834","2,195",82
2016,New Brunswick,Registered nurses,"7,716","4,854","1,940",922,0,"5,207",973,825,711,0,"6,143",890,683,0,"6,858",492,337,29,0,"6,164","1,550",2
2016,Quebec,Registered nurses,"68,164","40,336","22,452","5,357",19,"42,354","8,786","8,560","8,262",202,"55,762","3,155","9,237",10,"59,919","4,428","2,647",823,347,"60,977","7,186",1
2016,Ontario,Registered nurses,"95,609","63,594","25,156","6,859",0,"61,176","16,070","7,861","10,502",0,"72,881","5,420","17,308",0,"86,666","6,607","2,252",0,84,"90,262","5,298",49
2016,Manitoba,Registered nurses,"12,203","5,554","5,621","1,028",0,"7,520","1,937","1,425","1,264",57,"9,257",846,"1,968",132,"9,826",925,"1,012",396,44,"9,668","2,535",0
2016,Saskatchewan,Registered nurses,"10,264","6,035","2,774","1,455",0,"6,038","1,800",979,"1,174",273,"8,093",548,"1,351",272,"9,211",268,480,33,272,"8,363","1,876",25
2016,Alberta,Registered nurses,"34,651","17,863","11,324","4,493",971,"21,846","5,663","2,106","3,922","1,114","26,596","2,661","4,177","1,217","30,808","1,016","1,090",196,"1,541","31,130","3,105",416
2016,British Columbia,Registered nurses,"34,405","18,919","9,452","5,935",99,"22,271","5,470","2,494","3,631",539,"26,901","2,577","4,394",533,"29,762","1,307","1,632",227,"1,477","32,257","1,945",203
2016,Yukon,Registered nurses,400,208,151,41,0,203,121,28,44,4,297,43,49,11,350,34,9,0,7,287,75,38
2016,Northwest Territories/Nunavut,Registered nurses,991,682,0,309,0,389,390,17,130,65,727,140,107,17,902,47,17,6,19,0,0,0
2017,Newfoundland and Labrador,Registered nurses,"5,855","4,151",729,975,0,"3,975",799,454,627,0,"4,634",739,482,0,"5,253",350,227,24,1,"4,413","1,442",0
2017,Prince Edward Island,Registered nurses,"1,547",815,547,185,0,906,65,202,374,0,"1,138",116,293,0,"1,348",131,66,2,0,"1,033",489,25
2017,Nova Scotia,Registered nurses,"9,073","6,060","1,928","1,081",4,"6,161",966,"1,022",923,1,"7,102",792,"1,178",1,"8,205",391,396,81,0,"6,886","2,149",38
2017,New Brunswick,Registered nurses,"7,759","4,824","1,958",977,0,"5,262",949,817,731,0,"6,283",952,524,0,"6,881",510,332,36,0,"6,213","1,546",0
2017,Quebec,Registered nurses,"68,498","39,684","23,160","5,641",13,"42,738","8,793","8,516","8,414",37,"56,345","3,058","9,090",5,"60,439","4,293","2,591",810,365,"61,412","7,086",0
2017,Ontario,Registered nurses,"94,948","63,155","25,109","6,681",3,"60,989","15,877","7,743","10,339",0,"72,444","5,464","17,040",0,"86,246","6,459","2,168",0,75,"89,677","5,230",41
2017,Manitoba,Registered nurses,"12,282","5,583","5,675","1,024",0,"7,456","1,990","1,410","1,354",72,"9,242",815,"2,161",64,"10,733",836,568,94,51,"9,734","2,534",14
2017,Saskatchewan,Registered nurses,"10,416","6,110","2,846","1,460",0,"6,214","1,757",980,"1,159",306,"8,226",536,"1,350",304,"9,350",262,462,36,306,"8,495","1,897",24
2017,Alberta,Registered nurses,"34,356","15,460","13,415","5,481",0,"22,027","5,761","2,183","3,912",473,"26,929","2,679","4,269",479,"31,323",980,"1,084",196,773,"31,197","3,155",4
2017,British Columbia,Registered nurses,"35,207","19,624","9,706","5,789",88,"23,231","5,706","2,504","3,632",134,"27,992","2,656","4,426",133,"31,820","1,313","1,626",218,230,"33,059","1,961",187
2017,Yukon,Registered nurses,434,189,188,57,0,231,126,29,47,1,329,39,57,9,376,38,13,0,7,303,66,65
2017,Northwest Territories/Nunavut,Registered nurses,990,677,0,313,0,382,417,19,164,8,739,114,111,26,853,82,22,5,28,0,0,0
2018,Newfoundland and Labrador,Registered nurses,"5,737","4,054",714,969,0,"3,883",798,416,640,0,"4,568",700,469,0,"5,141",344,227,25,0,"4,322","1,415",0
2018,Prince Edward Island,Registered nurses,"1,560",832,525,203,0,935,64,196,365,0,"1,156",112,292,0,"1,357",141,59,3,0,"1,040",506,14
2018,Nova Scotia,Registered nurses,"8,997","6,033","1,863","1,100",1,"6,112",915,"1,004",959,7,"7,010",780,"1,202",5,"8,129",384,406,73,5,"6,822","2,142",33
