Year	Province_or_territory	Health_region	Nurse _practitioners	Registered_nurses	Registered_psychiatric nurses	Licensed_practical_nurses
2013	British Columbia	North Shore/Coast Garibaldi HSDA	5	1409	88	446
2013	British Columbia	South Vancouver Island HSDA	18	2999	110	877
2013	British Columbia	Central Vancouver Island HSDA	10	1590	93	755
2013	British Columbia	North Vancouver Island HSDA	6	743	29	273
2013	British Columbia	Northwest HSDA	3	402	11	161
2013	British Columbia	Northern Interior HSDA	15	941	26	348
2013	British Columbia	Northeast HSDA	1	260	15	141
2013	Yukon	Yukon	4	338	0	94
2013	Northwest Territories/Nunavut	Northwest Territories/Nunavut	51	944	0	0
2014	Newfoundland and Labrador	Eastern Health	63	3431	0	1156
2014	Newfoundland and Labrador	Central Health	27	668	0	458
2014	Newfoundland and Labrador	Western Health	9	766	0	427
2014	Newfoundland and Labrador	Labrador–Grenfell Health	13	361	0	163
2014	Prince Edward Island	Prince Edward Island	11	1337	0	482
2014	Prince Edward Island	Health PEI	11	1319	0	482
2014	Nova Scotia	Western Zone	29	1299	0	897
2014	Nova Scotia	Northern Zone	15	1044	0	530
2014	Nova Scotia	Eastern Zone	20	1698	0	912
2014	Nova Scotia	Central Zone	67	4029	0	1289
2014	New Brunswick	Zone 1 (Moncton Area)	31	1966	0	566
2014	New Brunswick	Zone 2 (Saint John Area)	27	1713	0	731
2014	New Brunswick	Zone 3 (Fredericton Area)	21	1315	0	583
2014	New Brunswick	Zone 4 (Edmundston Area)	6	517	0	203
2014	New Brunswick	Zone 5 (Campbellton Area)	3	372	0	179
2014	New Brunswick	Zone 6 (Bathurst Area)	8	755	0	371
2014	New Brunswick	Zone 7 (Miramichi Area)	5	389	0	161
2014	Quebec	Bas-Saint-Laurent Region	5	1652	0	752
2014	Quebec	Saguenay–Lac-Saint-Jean Region	4	2338	0	1009
2014	Quebec	Capitale-Nationale Region	29	7901	0	2554
2014	Quebec	Mauricie et Centre-du-Québec Region	22	3552	0	1491
2014	Quebec	Estrie Region	17	3411	0	1497
2014	Quebec	Montréal Region	67	19559	0	7620
2014	Quebec	Outaouais Region	12	1861	0	814
2014	Quebec	Abitibi-Témiscamingue Region	8	1148	0	439
2014	Quebec	Côte-Nord Region	2	777	0	247
2014	Quebec	Nord-du-Québec Region	1	138	0	50
2014	Quebec	Gaspésie–Îles-de-la-Madeleine Region	3	790	0	423
2014	Quebec	Chaudière-Appalaches Region	13	2438	0	1090
2014	Quebec	Laval Region	6	1907	0	915
2014	Quebec	Lanaudière Region	21	2265	0	952
2014	Quebec	Laurentides Region	15	2878	0	1520
2014	Quebec	Montérégie Region	21	6350	0	2974
2014	Quebec	Nunavik Region	0	174	0	7
2014	Quebec	Terres-Cries-de-la-Baie-James Region	0	155	0	0
2014	Ontario	Erie St. Clair LHIN	136	4008	0	2164
2014	Ontario	South West LHIN	187	7965	0	3175
2014	Ontario	Waterloo Wellington LHIN	124	4002	0	2121
2014	Ontario	Hamilton Niagara Haldimand Brant LHIN	212	9575	0	4400
2014	Ontario	Central West LHIN	46	2659	0	1150
2014	Ontario	Mississauga Halton LHIN	80	5609	0	1921
2014	Ontario	Toronto Central LHIN	417	15340	0	3504
2014	Ontario	Central LHIN	86	6696	0	2980
2014	Ontario	Central East LHIN	160	6988	0	3616
2014	Ontario	South East LHIN	114	4038	0	1948
2014	Ontario	Champlain LHIN	188	9665	0	3703
2014	Ontario	North Simcoe Muskoka LHIN	95	2893	0	1640
2014	Ontario	North East LHIN	203	4751	0	2631
2014	Ontario	North West LHIN	100	2274	0	1168
2014	Manitoba	Winnipeg Regional Health Authority	66	6077	294	1173
2014	Manitoba	Prairie Mountain Health	9	1158	237	822
2014	Manitoba	Interlake–Eastern Regional Health Authority	11	891	155	283
2014	Manitoba	Northern Health Region	4	338	14	155
2014	Manitoba	Southern Health — Santé Sud	10	1120	95	457
2014	Saskatchewan	Sun Country Health Region	6	327	46	124
2014	Saskatchewan	Five Hills Health Region	9	367	96	108
2014	Saskatchewan	Cypress Health Region	6	282	17	141
2014	Saskatchewan	Regina Qu'Appelle Health Region	28	2687	248	829
2014	Saskatchewan	Sunrise Health Region	8	430	62	194
2014	Saskatchewan	Saskatoon Health Region	37	3393	103	724
2014	Saskatchewan	Heartland Health Region	5	273	8	109
2014	Saskatchewan	Kelsey Trail Health Region	13	240	12	112
2014	Saskatchewan	Prince Albert Parkland Health Region	16	543	56	277
2014	Saskatchewan	Prairie North Health Region	12	553	94	306
2014	Saskatchewan	Mamawetan Churchill River Health Region	5	75	3	30
2014	Saskatchewan	Keewatin Yatthé Health Region	9	43	1	21
2014	Saskatchewan	Athabasca Health Authority	2	8	0	1
2014	Alberta	South Zone	5	1793	47	853
2014	Alberta	Calgary Zone	86	9571	213	2748
2014	Alberta	Central Zone	5	2578	342	1409
2014	Alberta	Edmonton Zone	171	11487	479	3465
2014	Alberta	North Zone	12	1673	46	1080
2014	British Columbia	East Kootenay HSDA	2	419	11	232
2014	British Columbia	Kootenay–Boundary HSDA	3	509	22	192
2014	British Columbia	Okanagan HSDA	10	2289	136	1215
2014	British Columbia	Thompson/Cariboo HSDA	7	1419	100	561
2014	British Columbia	Fraser East HSDA	6	1690	183	660
2014	British Columbia	Fraser North HSDA	22	3442	473	1111
2014	British Columbia	Fraser South HSDA	23	3529	363	1914
2014	British Columbia	Richmond HSDA	2	763	40	254
2014	British Columbia	Vancouver HSDA	79	6403	405	715
2014	British Columbia	North Shore/Coast Garibaldi HSDA	6	1432	80	324
2014	British Columbia	South Vancouver Island HSDA	20	2995	117	806
2014	British Columbia	Central Vancouver Island HSDA	12	1629	99	839
2014	British Columbia	North Vancouver Island HSDA	10	755	31	293
2014	British Columbia	Northwest HSDA	6	405	13	153
2014	British Columbia	Northern Interior HSDA	15	968	28	360
2014	British Columbia	Northeast HSDA	1	271	20	132
2014	Yukon	Yukon	5	349	0	103
2014	Northwest Territories/Nunavut	Northwest Territories/Nunavut	34	940	0	0
2015	Newfoundland and Labrador	Eastern Health	69	3513	0	1186
2015	Newfoundland and Labrador	Central Health	25	672	0	478
2015	Newfoundland and Labrador	Western Health	13	779	0	414
2015	Newfoundland and Labrador	Labrador–Grenfell Health	18	347	0	157
2015	Prince Edward Island	Prince Edward Island	13	1336	0	506
2015	Prince Edward Island	Health PEI	13	1314	0	506
2015	Nova Scotia	Western Zone	32	1289	0	931
2015	Nova Scotia	Northern Zone	14	1050	0	569
2015	Nova Scotia	Eastern Zone	20	1710	0	930
2015	Nova Scotia	Central Zone	70	4116	0	1304
2015	New Brunswick	Zone 1 (Moncton Area)	27	1955	0	577
2015	New Brunswick	Zone 2 (Saint John Area)	29	1707	0	749
2015	New Brunswick	Zone 3 (Fredericton Area)	22	1306	0	599
2015	New Brunswick	Zone 4 (Edmundston Area)	4	498	0	218
2015	New Brunswick	Zone 5 (Campbellton Area)	6	369	0	172
2015	New Brunswick	Zone 6 (Bathurst Area)	10	706	0	379
2015	New Brunswick	Zone 7 (Miramichi Area)	2	394	0	174
2015	Quebec	Bas-Saint-Laurent Region	6	1658	0	719
2015	Quebec	Saguenay–Lac-Saint-Jean Region	7	2332	0	981
2015	Quebec	Capitale-Nationale Region	33	7914	0	2569
2015	Quebec	Mauricie et Centre-du-Québec Region	25	3523	0	1466
2015	Quebec	Estrie Region	20	3477	0	1479
2015	Quebec	Montréal Region	80	19625	0	7486
2015	Quebec	Outaouais Region	13	1890	0	813
2015	Quebec	Abitibi-Témiscamingue Region	8	1135	0	443
2015	Quebec	Côte-Nord Region	2	776	0	249
2015	Quebec	Nord-du-Québec Region	1	142	0	50
2015	Quebec	Gaspésie–Îles-de-la-Madeleine Region	4	822	0	418
2015	Quebec	Chaudière-Appalaches Region	16	2427	0	1111
2015	Quebec	Laval Region	7	1928	0	942
2015	Quebec	Lanaudière Region	22	2351	0	1012
2015	Quebec	Laurentides Region	21	2890	0	1504
2015	Quebec	Montérégie Region	30	6448	0	3011
2015	Quebec	Nunavik Region	0	191	0	11
2015	Quebec	Terres-Cries-de-la-Baie-James Region	1	160	0	0
2015	Ontario	Erie St. Clair LHIN	145	3987	0	2257
2015	Ontario	South West LHIN	211	8013	0	3306
2015	Ontario	Waterloo Wellington LHIN	132	3930	0	2246
2015	Ontario	Hamilton Niagara Haldimand Brant LHIN	243	9534	0	4614
2015	Ontario	Central West LHIN	52	2976	0	1205
2015	Ontario	Mississauga Halton LHIN	93	5411	0	2097
2015	Ontario	Toronto Central LHIN	439	15476	0	3637
2015	Ontario	Central LHIN	106	6851	0	3302
2015	Ontario	Central East LHIN	178	6939	0	3853
2015	Ontario	South East LHIN	129	3941	0	1947
2015	Ontario	Champlain LHIN	209	9746	0	3808
2015	Ontario	North Simcoe Muskoka LHIN	104	2842	0	1728
2015	Ontario	North East LHIN	213	4769	0	2678
2015	Ontario	North West LHIN	100	2332	0	1167
2015	Manitoba	Winnipeg Regional Health Authority	79	6205	296	1193
2015	Manitoba	Prairie Mountain Health	14	1155	234	833
2015	Manitoba	Interlake–Eastern Regional Health Authority	15	912	160	283
2015	Manitoba	Northern Health Region	6	356	12	154
2015	Manitoba	Southern Health — Santé Sud	12	1128	90	478
2015	Saskatchewan	Sun Country Health Region	6	318	44	126
2015	Saskatchewan	Five Hills Health Region	11	350	91	107
2015	Saskatchewan	Cypress Health Region	8	265	17	140
2015	Saskatchewan	Regina Qu'Appelle Health Region	26	2635	259	866
2015	Saskatchewan	Sunrise Health Region	7	416	60	206
2015	Saskatchewan	Saskatoon Health Region	33	3333	108	760
2015	Saskatchewan	Heartland Health Region	6	255	6	109
2015	Saskatchewan	Kelsey Trail Health Region	12	229	9	118
2015	Saskatchewan	Prince Albert Parkland Health Region	20	540	58	276
2015	Saskatchewan	Prairie North Health Region	13	560	87	305
2015	Saskatchewan	Mamawetan Churchill River Health Region	5	74	4	33
2015	Saskatchewan	Keewatin Yatthé Health Region	8	36	1	20
2015	Saskatchewan	Athabasca Health Authority	2	9	0	1
2015	Alberta	South Zone	7	1901	46	888
2015	Alberta	Calgary Zone	100	10755	213	3033
2015	Alberta	Central Zone	3	2829	336	1465
2015	Alberta	Edmonton Zone	197	12410	466	3706
2015	Alberta	North Zone	12	1811	49	1129
2015	British Columbia	East Kootenay HSDA	4	423	12	228
2015	British Columbia	Kootenay–Boundary HSDA	5	480	23	187
2015	British Columbia	Okanagan HSDA	13	2394	137	1251
2015	British Columbia	Thompson/Cariboo HSDA	9	1356	99	549
2015	British Columbia	Fraser East HSDA	8	1670	174	641
2015	British Columbia	Fraser North HSDA	19	3393	444	1133
2015	British Columbia	Fraser South HSDA	17	3584	356	1491
2015	British Columbia	Richmond HSDA	0	686	37	203
2015	British Columbia	Vancouver HSDA	69	6800	404	1210
2015	British Columbia	North Shore/Coast Garibaldi HSDA	5	1331	85	477
2015	British Columbia	South Vancouver Island HSDA	16	3030	109	892
2015	British Columbia	Central Vancouver Island HSDA	8	1555	104	798
2015	British Columbia	North Vancouver Island HSDA	9	757	31	278
2015	British Columbia	Northwest HSDA	3	424	13	154
2015	British Columbia	Northern Interior HSDA	15	943	29	370
2015	British Columbia	Northeast HSDA	2	258	16	129
2015	Yukon	Yukon	3	330	0	106
2015	Northwest Territories/Nunavut	Northwest Territories/Nunavut	39	892	0	94
2016	Newfoundland and Labrador	Eastern Health	74	3482	0	1170
2016	Newfoundland and Labrador	Central Health	26	686	0	485
2016	Newfoundland and Labrador	Western Health	16	772	0	407
2016	Newfoundland and Labrador	Labrador–Grenfell Health	21	327	0	160
2016	Prince Edward Island	Prince Edward Island	21	1318	0	531
2016	Prince Edward Island	Health PEI	21	1300	0	531
2016	Nova Scotia	Western Zone	34	1258	0	945
2016	Nova Scotia	Northern Zone	13	1015	0	583
2016	Nova Scotia	Eastern Zone	20	1702	0	933
2016	Nova Scotia	Central Zone	67	4161	0	1341
2016	New Brunswick	Zone 1 (Moncton Area)	29	1955	0	582
2016	New Brunswick	Zone 2 (Saint John Area)	31	1685	0	762
2016	New Brunswick	Zone 3 (Fredericton Area)	25	1274	0	633
2016	New Brunswick	Zone 4 (Edmundston Area)	5	498	0	218
2016	New Brunswick	Zone 5 (Campbellton Area)	4	353	0	173
2016	New Brunswick	Zone 6 (Bathurst Area)	9	698	0	376
2016	New Brunswick	Zone 7 (Miramichi Area)	4	393	0	172
2016	Quebec	Bas-Saint-Laurent Region	4	1642	0	720
2016	Quebec	Saguenay–Lac-Saint-Jean Region	6	2328	0	913
2016	Quebec	Capitale-Nationale Region	38	7897	0	2538
2016	Quebec	Mauricie et Centre-du-Québec Region	33	3517	0	1445
2016	Quebec	Estrie Region	26	3540	0	1492
2016	Quebec	Montréal Region	106	19585	0	7304
2016	Quebec	Outaouais Region	15	1896	0	798
2016	Quebec	Abitibi-Témiscamingue Region	10	1121	0	442
2016	Quebec	Côte-Nord Region	2	784	0	237
2016	Quebec	Nord-du-Québec Region	1	148	0	49
2016	Quebec	Gaspésie–Îles-de-la-Madeleine Region	5	828	0	394
2016	Quebec	Chaudière-Appalaches Region	17	2433	0	1093
2016	Quebec	Laval Region	9	2120	0	1028
2016	Quebec	Lanaudière Region	30	2302	0	1004
2016	Quebec	Laurentides Region	27	2903	0	1501
2016	Quebec	Montérégie Region	40	6501	0	3049
2016	Quebec	Nunavik Region	0	198	0	10
2016	Quebec	Terres-Cries-de-la-Baie-James Region	1	175	0	0
2016	Ontario	Erie St. Clair LHIN	152	3906	0	2392
2016	Ontario	South West LHIN	240	7873	0	3413
2016	Ontario	Waterloo Wellington LHIN	153	3845	0	2399
2016	Ontario	Hamilton Niagara Haldimand Brant LHIN	249	9589	0	4849
2016	Ontario	Central West LHIN	66	2972	0	1297
2016	Ontario	Mississauga Halton LHIN	99	5574	0	2427
2016	Ontario	Toronto Central LHIN	499	15482	0	3865
2016	Ontario	Central LHIN	121	7026	0	3499
2016	Ontario	Central East LHIN	200	6916	0	4170
2016	Ontario	South East LHIN	137	3868	0	2039
2016	Ontario	Champlain LHIN	219	9737	0	4042
2016	Ontario	North Simcoe Muskoka LHIN	109	2850	0	1788
2016	Ontario	North East LHIN	211	4685	0	2740
2016	Ontario	North West LHIN	119	2301	0	1202
2016	Manitoba	Winnipeg Regional Health Authority	86	6229	309	1235
2016	Manitoba	Prairie Mountain Health	17	1143	245	843
2016	Manitoba	Interlake–Eastern Regional Health Authority	14	909	162	297
2016	Manitoba	Northern Health Region	7	370	14	150
2016	Manitoba	Southern Health — Santé Sud	14	1175	91	483
2016	Saskatchewan	Sun Country Health Region	6	307	37	138
2016	Saskatchewan	Five Hills Health Region	10	353	78	114
2016	Saskatchewan	Cypress Health Region	10	268	15	143
2016	Saskatchewan	Regina Qu'Appelle Health Region	29	2634	224	884
2016	Saskatchewan	Sunrise Health Region	9	416	55	201
2016	Saskatchewan	Saskatoon Health Region	38	3499	145	810
2016	Saskatchewan	Heartland Health Region	7	261	3	118
2016	Saskatchewan	Kelsey Trail Health Region	16	228	9	119
2016	Saskatchewan	Prince Albert Parkland Health Region	20	561	51	287
2016	Saskatchewan	Prairie North Health Region	16	541	78	310
2016	Saskatchewan	Mamawetan Churchill River Health Region	6	68	2	37
2016	Saskatchewan	Keewatin Yatthé Health Region	6	45	1	23
2016	Saskatchewan	Athabasca Health Authority	2	17	0	0
2016	Alberta	South Zone	9	2054	42	931
2016	Alberta	Calgary Zone	143	11715	210	3319
2016	Alberta	Central Zone	11	3040	328	1529
2016	Alberta	Edmonton Zone	204	11723	452	4003
2016	Alberta	North Zone	26	1993	41	1172
2016	British Columbia	East Kootenay HSDA	1	459	13	215
2016	British Columbia	Kootenay–Boundary HSDA	2	498	23	191
2016	British Columbia	Okanagan HSDA	13	2481	160	1284
2016	British Columbia	Thompson/Cariboo HSDA	12	1415	102	567
2016	British Columbia	Fraser East HSDA	9	1692	185	676
2016	British Columbia	Fraser North HSDA	19	3468	475	1194
2016	British Columbia	Fraser South HSDA	23	3685	386	1519
2016	British Columbia	Richmond HSDA	1	706	48	203
2016	British Columbia	Vancouver HSDA	83	6837	425	1162
2016	British Columbia	North Shore/Coast Garibaldi HSDA	9	1358	87	497
2016	British Columbia	South Vancouver Island HSDA	14	2998	117	905
2016	British Columbia	Central Vancouver Island HSDA	9	1606	110	769
2016	British Columbia	North Vancouver Island HSDA	11	737	31	293
2016	British Columbia	Northwest HSDA	2	402	11	163
2016	British Columbia	Northern Interior HSDA	11	982	33	386
2016	British Columbia	Northeast HSDA	4	268	21	130
2016	Yukon	Yukon	4	317	0	104
2016	Northwest Territories/Nunavut	Northwest Territories/Nunavut	32	902	0	104
2017	Newfoundland and Labrador	Eastern Health	82	3445	0	1197
2017	Newfoundland and Labrador	Central Health	28	706	0	507
2017	Newfoundland and Labrador	Western Health	20	758	0	418
2017	Newfoundland and Labrador	Labrador–Grenfell Health	21	344	0	171
2017	Prince Edward Island	Prince Edward Island	23	1348	0	553
2017	Prince Edward Island	Health PEI	23	1324	0	551
2017	Nova Scotia	Western Zone	35	1259	0	985
2017	Nova Scotia	Northern Zone	13	1005	0	609
2017	Nova Scotia	Eastern Zone	24	1696	0	950
2017	Nova Scotia	Central Zone	77	4210	0	1398
2017	New Brunswick	Zone 1 (Moncton Area)	29	1965	0	596
2017	New Brunswick	Zone 2 (Saint John Area)	31	1679	0	750
2017	New Brunswick	Zone 3 (Fredericton Area)	26	1315	0	641
2017	New Brunswick	Zone 4 (Edmundston Area)	6	492	0	212
2017	New Brunswick	Zone 5 (Campbellton Area)	7	343	0	158
2017	New Brunswick	Zone 6 (Bathurst Area)	10	693	0	359
2017	New Brunswick	Zone 7 (Miramichi Area)	4	394	0	172
2017	Quebec	Bas-Saint-Laurent Region	7	1599	0	699
2017	Quebec	Saguenay–Lac-Saint-Jean Region	8	2309	0	893
2017	Quebec	Capitale-Nationale Region	45	7948	0	2499
2017	Quebec	Mauricie et Centre-du-Québec Region	34	3551	0	1422
2017	Quebec	Estrie Region	31	3573	0	1489
2017	Quebec	Montréal Region	113	19720	0	7029
2017	Quebec	Outaouais Region	16	1926	0	796
2017	Quebec	Abitibi-Témiscamingue Region	12	1114	0	450
2017	Quebec	Côte-Nord Region	3	786	0	240
2017	Quebec	Nord-du-Québec Region	1	140	0	47
2017	Quebec	Gaspésie–Îles-de-la-Madeleine Region	5	820	0	369
2017	Quebec	Chaudière-Appalaches Region	17	2426	0	1085
2017	Quebec	Laval Region	12	2220	0	1115
2017	Quebec	Lanaudière Region	34	2318	0	1014
2017	Quebec	Laurentides Region	26	2958	0	1492
2017	Quebec	Montérégie Region	53	6657	0	2996
2017	Quebec	Nunavik Region	1	187	0	9
2017	Quebec	Terres-Cries-de-la-Baie-James Region	2	187	0	0
2017	Ontario	Erie St. Clair LHIN	157	3743	0	2502
2017	Ontario	South West LHIN	263	7793	0	3555
2017	Ontario	Waterloo Wellington LHIN	170	3753	0	2470
2017	Ontario	Hamilton Niagara Haldimand Brant LHIN	279	9505	0	5046
2017	Ontario	Central West LHIN	71	2978	0	1407
2017	Ontario	Mississauga Halton LHIN	115	5738	0	2611
2017	Ontario	Toronto Central LHIN	538	15532	0	4068
2017	Ontario	Central LHIN	129	7033	0	3740
2017	Ontario	Central East LHIN	219	6824	0	4346
2017	Ontario	South East LHIN	140	3883	0	2050
2017	Ontario	Champlain LHIN	249	9645	0	4100
2017	Ontario	North Simcoe Muskoka LHIN	110	2814	0	1802
2017	Ontario	North East LHIN	217	4693	0	2762
2017	Ontario	North West LHIN	132	2272	0	1194
2017	Manitoba	Winnipeg Regional Health Authority	94	6784	326	1248
2017	Manitoba	Prairie Mountain Health	17	1232	247	862
2017	Manitoba	Interlake–Eastern Regional Health Authority	19	1003	176	303
2017	Manitoba	Northern Health Region	5	415	16	143
2017	Manitoba	Southern Health — Santé Sud	18	1286	91	508
2017	Saskatchewan	Sun Country Health Region	6	315	34	129
2017	Saskatchewan	Five Hills Health Region	10	355	74	112
2017	Saskatchewan	Cypress Health Region	9	264	15	149
2017	Saskatchewan	Regina Qu'Appelle Health Region	36	2680	223	894
2017	Saskatchewan	Sunrise Health Region	11	414	53	186
2017	Saskatchewan	Saskatoon Health Region	39	3557	130	798
2017	Saskatchewan	Heartland Health Region	8	270	1	113
2017	Saskatchewan	Kelsey Trail Health Region	15	231	7	121
2017	Saskatchewan	Prince Albert Parkland Health Region	23	567	53	305
2017	Saskatchewan	Prairie North Health Region	18	547	80	292
2017	Saskatchewan	Mamawetan Churchill River Health Region	3	71	1	32
2017	Saskatchewan	Keewatin Yatthé Health Region	9	58	2	25
2017	Saskatchewan	Athabasca Health Authority	2	15	0	1
2017	Alberta	South Zone	10	2119	40	971
2017	Alberta	Calgary Zone	158	12101	202	3584
2017	Alberta	Central Zone	14	3101	335	1604
2017	Alberta	Edmonton Zone	218	11904	458	4144
2017	Alberta	North Zone	24	2095	48	1201
2017	British Columbia	East Kootenay HSDA	5	465	15	209
2017	British Columbia	Kootenay–Boundary HSDA	5	524	25	176
2017	British Columbia	Okanagan HSDA	23	2679	164	1279
2017	British Columbia	Thompson/Cariboo HSDA	22	1531	106	541
2017	British Columbia	Fraser East HSDA	18	1836	176	687
2017	British Columbia	Fraser North HSDA	23	3669	471	1172
2017	British Columbia	Fraser South HSDA	30	3876	380	1529
2017	British Columbia	Richmond HSDA	1	742	48	202
2017	British Columbia	Vancouver HSDA	94	7267	453	1212
2017	British Columbia	North Shore/Coast Garibaldi HSDA	10	1449	96	452
2017	British Columbia	South Vancouver Island HSDA	28	3198	116	921
2017	British Columbia	Central Vancouver Island HSDA	15	1827	111	740
2017	British Columbia	North Vancouver Island HSDA	11	793	33	307
2017	British Columbia	Northwest HSDA	4	444	9	154
2017	British Columbia	Northern Interior HSDA	14	1068	35	387
2017	British Columbia	Northeast HSDA	4	286	21	118
2017	Yukon	Yukon	5	318	0	0
2017	Northwest Territories/Nunavut	Northwest Territories/Nunavut	46	853	0	95
2018	Newfoundland and Labrador	Eastern Health	85	3388	0	1196
2018	Newfoundland and Labrador	Central Health	33	684	0	512
2018	Newfoundland and Labrador	Western Health	19	737	0	404
2018	Newfoundland and Labrador	Labrador–Grenfell Health	16	332	0	161
2018	Prince Edward Island	Prince Edward Island	26	1357	0	531
2018	Prince Edward Island	Health PEI	26	1343	0	529
2018	Nova Scotia	Western Zone	33	1251	0	967
2018	Nova Scotia	Northern Zone	16	994	0	622
2018	Nova Scotia	Eastern Zone	26	1688	0	956
2018	Nova Scotia	Central Zone	89	4164	0	1436
2018	New Brunswick	Zone 1 (Moncton Area)	32	1962	0	619
2018	New Brunswick	Zone 2 (Saint John Area)	30	1681	0	776
2018	New Brunswick	Zone 3 (Fredericton Area)	30	1313	0	664
2018	New Brunswick	Zone 4 (Edmundston Area)	6	495	0	212
2018	New Brunswick	Zone 5 (Campbellton Area)	7	329	0	152
2018	New Brunswick	Zone 6 (Bathurst Area)	11	675	0	355
