Year,Jurisdiction,Type_of_professional,Supply_number_of_nurses,Supply_inflow,Supply_outflow,Supply_renewal,Supply_inflow_age_younger_than_35,Supply_inflow_age 35_to_54,Supply_inflow_age_55_and_older,Supply_inflow_age_not_stated,Supply_outflow_age_younger_than_35,Supply_outflow_age_ 35_to_ 54,Supply_outflow_age_55_and _older,Supply_outflow_age_not_stated,Supply_renewal_age_younger_than_35,Supply_renewal_age_35_to_54,Supply_renewal_age_55_and_older,Supply_renewal_age_not_stated,Supply_employment_status_employed_in_profession,Supply_employed_and_seeking_employment,Supply__employed_other_profession_not_seeking_employment,Supply_not_employed_and_seeking_employment,Supply_not_employed_not _seeking _employment_in _profession,Supply_employment_status_not_stated,Supply_sex_female,Supply_sex_male,Supply_sex_not_stated,Supply_average_age,Supply_age_younger_than_30,Supply_age_30_to_39,Supply_age_40_to_ 49,Supply_age_50_to_ 59,Supply_age_60_to_64,Supply_age_65_to_ 69,Supply_age_70_and_older,Supply_age _not_stated,Supply_location_of_graduation_Canada,Supply_location_of_graduation_international,Supply_location_of_graduation_not_stated,Supply_years_since_graduation_0_to_10,Supply_years_since_graduation_11_to_20,Supply_years_since_graduation_21_to_30,Supply_years_since_graduation_31_and_more,Supply_years_since_graduation_not_stated,Supply_employed_in_other_renewal_age_not_stated
2013,Yukon,Nurse practitioners,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,4,1,0,42,0,3,1,1,0,0,0,0,5,0,0,0,4,0,1,0,0
2013,Northwest Territories/Nunavut,Nurse practitioners,63,12,0,51,0,0,0,0,0,16,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,49.3,0,10,17,26,5,0,0,0,0,0,0,8,16,19,20,0,0
2014,Newfoundland and Labrador,Nurse practitioners,127,7,3,120,2,2,1,0,0,1,2,0,3,97,20,20,126,0,0,1,0,0,109,18,0,47.5,0,21,57,38,9,0,2,0,127,0,0,8,39,52,28,0,0
2014,Prince Edward Island,Nurse practitioners,14,9,2,5,4,4,0,0,0,1,1,0,1,3,1,1,12,0,0,0,0,2,14,0,0,40,2,5,5,2,0,0,0,0,13,1,0,6,4,4,0,0,0
2014,Nova Scotia,Nurse practitioners,146,15,9,131,6,6,0,0,1,7,1,0,7,103,21,21,142,0,0,0,0,4,142,4,0,46.4,2,30,57,48,8,1,0,0,143,3,0,15,43,52,36,0,0
2014,New Brunswick,Nurse practitioners,113,13,15,100,8,8,1,0,8,5,2,0,22,63,15,15,105,0,0,3,2,3,108,5,0,42.7,2,49,33,25,4,0,0,0,109,4,0,24,41,31,17,0,0
2014,Quebec,Nurse practitioners,250,53,4,197,39,39,0,0,3,1,0,0,79,111,7,7,250,,0,0,0,0,227,23,0,36.8,21,159,54,15,1,0,0,0,248,2,0,99,112,30,9,0,0
2014,Ontario,Nurse practitioners,2303,226,47,2077,116,116,13,0,9,19,19,0,314,1298,465,465,2199,2,2,32,12,56,2168,135,0,45.5,60,691,662,687,164,33,6,0,2166,136,1,553,608,663,478,1,2
2014,Manitoba,Nurse practitioners,129,25,6,104,8,8,0,0,3,3,0,0,16,77,11,11,121,0,0,2,1,5,113,8,0,43.3,2,56,38,27,4,2,0,0,128,1,0,27,48,36,18,0,0
2014,Saskatchewan,Nurse practitioners,169,19,9,150,5,5,0,0,1,6,2,0,15,82,53,53,163,0,4,0,2,0,158,11,0,48.2,6,30,47,63,21,2,0,0,160,9,0,125,41,2,1,0,0
2014,Alberta,Nurse practitioners,378,52,22,326,18,18,7,0,6,15,1,0,37,228,61,61,358,0,18,0,0,2,346,32,0,45,7,109,136,102,20,4,0,0,374,3,1,58,147,101,72,0,0
2014,British Columbia,Nurse practitioners,290,52,22,238,24,24,3,0,9,8,5,0,28,167,43,43,245,0,0,0,1,44,271,19,0,43.8,14,102,84,75,10,4,1,0,273,16,1,72,99,78,39,2,0
2014,Yukon,Nurse practitioners,6,2,1,4,1,1,0,0,0,1,0,0,0,3,1,1,6,0,0,0,0,0,6,0,0,41.2,0,3,2,1,0,0,0,0,6,0,0,1,4,0,1,0,0
2014,Northwest Territories/Nunavut,Nurse practitioners,41,0,8,0,0,0,0,0,0,0,0,0,0,20,15,15,41,0,0,0,0,0,0,0,0,49.3,0,7,7,20,0,0,0,0,0,0,0,7,7,14,13,0,0
2015,Newfoundland and Labrador,Nurse practitioners,136,12,0,124,9,9,0,0,0,0,0,0,4,97,23,23,136,0,0,0,0,0,117,19,0,47,0,29,54,42,9,0,2,0,136,0,0,9,40,53,34,0,0
2015,Prince Edward Island,Nurse practitioners,17,5,4,12,2,2,1,0,2,1,1,0,5,7,0,0,14,0,0,0,1,2,17,0,0,38.6,1,8,6,2,0,0,0,0,0,0,0,8,7,2,0,0,0
2015,Nova Scotia,Nurse practitioners,149,12,12,137,7,7,0,0,3,8,1,0,10,100,27,27,143,0,0,0,0,6,143,6,0,46.3,4,35,47,54,8,1,0,0,145,4,0,19,42,52,36,0,0
2015,New Brunswick,Nurse practitioners,109,11,7,98,6,6,0,0,3,3,1,0,17,64,17,17,106,0,0,0,2,1,106,3,0,43.4,3,44,32,22,7,1,0,0,105,4,0,19,43,30,17,0,0
2015,Quebec,Nurse practitioners,305,59,6,246,36,36,0,0,4,2,0,0,100,136,10,10,303,,0,0,0,2,281,24,0,37.1,23,197,63,20,2,0,0,0,303,2,0,113,145,37,10,0,0
2015,Ontario,Nurse practitioners,2520,264,59,2256,136,136,12,0,2,28,29,0,341,1393,522,522,2405,3,1,27,12,72,2369,151,0,45.4,76,781,697,718,198,44,6,0,2370,149,1,638,672,672,533,5,3
2015,Manitoba,Nurse practitioners,152,29,10,123,10,10,0,0,1,6,3,0,16,88,19,19,148,0,0,0,0,4,140,12,0,43.4,4,62,45,32,7,1,1,0,150,2,0,29,62,40,21,0,0
2015,Saskatchewan,Nurse practitioners,186,26,9,160,10,10,1,0,0,3,6,0,16,87,57,57,172,5,2,6,1,0,172,14,0,47.9,4,39,53,65,22,2,1,0,169,9,8,131,46,8,1,0,5
2015,Alberta,Nurse practitioners,414,58,26,356,22,22,2,0,5,12,9,0,37,242,77,77,377,5,22,9,1,0,380,34,0,45.3,5,128,142,103,29,7,0,0,407,7,0,57,171,107,79,0,5
2015,British Columbia,Nurse practitioners,315,47,12,268,21,21,2,0,2,6,4,0,36,183,49,49,236,0,0,0,0,79,296,19,0,43.7,9,120,90,81,12,3,0,0,294,20,1,72,121,74,43,5,0
2015,Yukon,Nurse practitioners,5,0,1,5,0,0,0,0,1,0,0,0,1,3,1,1,5,0,0,0,0,0,5,0,0,42,0,2,2,1,0,0,0,0,5,0,0,1,3,0,1,0,0
2015,Northwest Territories/Nunavut,Nurse practitioners,48,15,13,33,0,0,7,0,0,0,5,0,0,15,0,0,45,0,0,0,0,0,43,5,0,50.3,0,10,9,19,6,0,0,0,0,0,0,11,8,14,15,0,0
2016,Newfoundland and Labrador,Nurse practitioners,149,0,5,0,0,0,0,0,1,2,2,0,0,0,0,0,148,0,0,0,0,1,127,22,0,46.4,5,33,54,44,11,0,2,0,149,0,0,20,36,59,34,0,0
2016,Prince Edward Island,Nurse practitioners,22,9,1,13,3,3,0,0,1,0,0,0,3,10,0,0,22,0,0,0,0,0,21,1,0,38.2,0,14,7,1,0,0,0,0,0,0,0,10,10,1,1,0,0
2016,Nova Scotia,Nurse practitioners,146,9,12,137,2,2,0,0,1,8,3,0,10,94,33,33,141,1,0,0,0,4,138,8,0,47.2,3,29,47,56,10,1,0,0,143,3,0,14,44,46,42,0,1
2016,New Brunswick,Nurse practitioners,117,15,7,102,9,9,0,0,4,3,0,0,15,69,18,18,113,0,0,1,2,1,113,4,0,43.3,4,44,36,25,8,0,0,0,113,4,0,25,44,31,17,0,0
2016,Quebec,Nurse practitioners,380,81,8,299,59,59,1,0,3,3,2,0,111,177,11,11,378,,0,0,0,2,352,28,0,37,34,247,72,23,4,0,0,0,378,2,0,121,200,45,14,0,0
2016,Ontario,Nurse practitioners,2769,308,74,2461,170,170,9,0,10,33,31,0,375,1497,589,589,2646,3,0,41,16,63,2600,169,0,45.2,71,938,731,745,225,51,8,0,2615,153,1,744,781,628,609,7,3
2016,Manitoba,Nurse practitioners,163,21,1,142,11,11,0,0,0,1,0,0,19,106,17,17,162,0,0,0,0,1,150,13,0,43.2,9,55,59,32,5,2,1,0,161,2,0,33,68,44,18,0,0
2016,Saskatchewan,Nurse practitioners,206,29,14,177,15,15,3,0,6,2,6,0,18,101,58,58,192,8,0,5,1,0,190,16,0,46.9,7,54,54,61,23,6,1,0,190,9,7,137,58,10,1,0,8
2016,Alberta,Nurse practitioners,449,61,23,388,29,29,3,0,2,12,9,0,46,261,81,81,427,1,14,1,2,4,409,40,0,45.1,5,150,143,109,34,7,1,0,437,11,1,60,193,109,87,0,1
2016,British Columbia,Nurse practitioners,385,82,26,303,41,41,3,0,10,13,3,0,45,200,58,58,269,0,2,0,2,112,357,28,0,43,7,164,110,82,18,3,1,0,360,24,1,101,153,72,52,7,0
2016,Yukon,Nurse practitioners,5,1,0,4,1,1,0,0,0,0,0,0,0,3,1,1,4,0,0,0,0,1,5,0,0,43,0,1,3,1,0,0,0,0,4,1,0,0,4,0,1,0,0
2016,Northwest Territories/Nunavut,Nurse practitioners,45,10,5,35,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,39,6,0,49.8,0,10,9,18,0,0,0,0,0,0,0,9,9,13,14,0,0
2017,Newfoundland and Labrador,Nurse practitioners,165,21,15,144,12,12,3,0,2,5,8,0,16,99,29,29,163,0,0,1,0,1,141,24,0,46.1,4,42,53,53,9,3,1,0,164,1,0,30,36,61,38,0,0
2017,Prince Edward Island,Nurse practitioners,24,3,1,21,2,2,0,0,1,0,0,0,3,18,0,0,24,0,0,0,0,0,23,1,0,39.2,0,13,10,1,0,0,0,0,23,1,0,9,12,2,1,0,0
2017,Nova Scotia,Nurse practitioners,163,29,9,134,12,12,1,0,2,4,3,0,7,89,38,38,157,0,0,0,0,6,156,7,0,46.4,5,39,51,54,12,2,0,0,159,4,0,26,41,50,46,0,0
2017,New Brunswick,Nurse practitioners,125,15,11,110,7,7,1,0,1,5,5,0,15,77,18,18,121,0,0,0,3,1,120,5,0,44,1,44,42,28,10,0,0,0,121,4,0,21,50,31,23,0,0
2017,Quebec,Nurse practitioners,431,59,8,372,35,35,0,0,5,2,1,0,128,233,11,11,431,,0,0,0,0,396,35,0,37.3,34,277,92,24,4,0,0,0,429,2,0,121,244,50,16,0,0
2017,Ontario,Nurse practitioners,3011,316,84,2695,182,182,10,0,14,26,44,0,432,1612,651,651,2855,3,3,50,15,85,2823,188,0,45,81,1064,779,773,231,76,7,0,2843,167,1,828,885,666,632,0,3
2017,Manitoba,Nurse practitioners,178,16,3,162,8,8,1,0,0,1,2,0,30,115,17,17,167,0,0,1,2,8,163,15,0,44.2,11,66,60,33,5,2,1,0,175,3,0,40,71,45,22,0,0
2017,Saskatchewan,Nurse practitioners,216,24,9,192,11,11,1,0,1,3,5,0,24,107,61,61,204,0,0,12,0,0,200,16,0,46.8,5,63,57,60,24,6,1,0,207,9,0,139,67,9,1,0,0
2017,Alberta,Nurse practitioners,481,55,24,426,24,24,5,0,7,12,5,0,59,280,87,87,462,3,12,0,1,3,435,46,0,45,7,160,157,112,34,10,1,0,462,18,1,63,191,133,94,0,3
2017,British Columbia,Nurse practitioners,418,59,20,359,26,26,7,0,11,9,0,0,62,231,66,66,322,0,0,1,0,95,388,30,0,43.5,6,163,135,87,21,5,1,0,386,31,1,98,168,83,59,10,0
2017,Yukon,Nurse practitioners,7,2,2,5,0,0,2,0,0,1,1,0,0,4,1,1,6,0,0,0,0,1,7,0,0,49.1,0,1,3,2,0,1,0,0,6,1,0,0,4,0,3,0,0
2017,Northwest Territories/Nunavut,Nurse practitioners,57,17,9,40,0,0,8,0,0,5,0,0,0,19,0,0,0,0,0,0,0,0,48,9,0,51.2,0,12,10,20,8,0,0,0,0,0,0,9,9,15,24,0,0
2018,Newfoundland and Labrador,Nurse practitioners,168,18,16,150,7,7,2,0,2,7,7,0,21,100,29,29,164,0,0,2,1,1,144,24,0,45.9,3,47,53,53,6,5,1,0,167,1,0,28,43,60,37,0,0
2018,Prince Edward Island,Nurse practitioners,29,6,1,23,3,3,1,0,0,0,1,0,3,20,0,0,28,0,0,1,0,0,28,1,0,40.4,0,15,12,2,0,0,0,0,27,1,1,9,16,2,2,0,0
2018,Nova Scotia,Nurse practitioners,182,28,8,154,8,8,1,0,2,3,3,0,15,98,41,41,175,0,0,0,0,7,175,7,0,46.2,5,45,61,58,10,2,1,0,178,4,0,28,53,52,49,0,0
2018,New Brunswick,Nurse practitioners,130,16,9,114,12,12,0,0,3,6,0,0,13,84,17,17,126,0,0,1,3,0,122,8,0,43.3,3,50,40,27,8,2,0,0,126,4,0,27,53,30,20,0,0
2018,Quebec,Nurse practitioners,509,86,17,423,42,42,0,0,9,7,1,0,133,278,12,12,503,,0,0,0,6,462,47,0,37.8,27,322,125,32,2,1,0,0,505,4,0,123,301,65,20,0,0
2018,Ontario,Nurse practitioners,3206,279,69,2927,155,155,11,0,8,30,31,0,480,1731,716,716,3032,10,5,55,25,79,2999,207,0,44.9,84,1188,788,807,249,79,11,0,3038,167,1,857,1005,670,674,0,10
2018,Manitoba,Nurse practitioners,193,18,6,175,11,11,1,0,1,4,1,0,30,125,20,20,174,2,2,2,1,12,174,19,0,44.3,7,71,65,41,4,3,2,0,189,4,0,36,83,49,25,0,2
2018,Saskatchewan,Nurse practitioners,228,21,11,207,13,13,1,0,3,4,4,0,28,115,64,64,215,5,0,7,0,1,211,17,0,46.3,7,68,60,60,25,7,1,0,216,10,2,141,77,9,1,0,5
2018,Alberta,Nurse practitioners,529,72,28,457,34,34,4,0,8,13,7,0,55,307,95,95,504,1,15,0,1,8,481,48,0,44.8,9,187,164,123,32,12,2,0,511,18,0,76,214,138,101,0,1
2018,British Columbia,Nurse practitioners,465,67,24,398,30,30,2,0,10,7,7,0,60,256,82,82,356,1,0,0,1,107,428,37,0,43.8,5,175,158,88,28,10,1,0,425,37,3,107,185,94,69,10,1
2018,Yukon,Nurse practitioners,8,3,0,5,0,0,0,0,0,0,0,0,0,3,2,2,8,0,0,0,0,0,7,1,0,46.6,0,2,4,0,1,1,0,0,7,1,0,1,4,1,2,0,0
2018,Northwest Territories/Nunavut,Nurse practitioners,50,0,10,0,0,0,0,0,0,0,0,0,5,19,24,24,50,0,0,0,0,0,44,6,0,52.4,0,9,10,15,7,0,0,0,0,0,0,6,9,12,23,0,0
2019,Newfoundland and Labrador,Nurse practitioners,183,31,13,152,13,13,4,0,2,6,5,0,24,97,31,31,180,0,0,2,1,0,158,25,0,44.9,4,61,49,60,5,3,1,0,180,3,0,34,57,57,35,0,0
2019,Prince Edward Island,Nurse practitioners,43,15,1,28,12,12,0,0,1,0,0,0,5,23,0,0,38,0,0,0,1,4,40,3,0,38.6,3,23,14,3,0,0,0,0,0,0,0,13,25,4,1,0,0
2019,Nova Scotia,Nurse practitioners,204,30,12,174,10,10,3,0,2,5,5,0,20,108,46,46,201,0,0,0,0,3,194,10,0,46,3,56,70,61,11,3,0,0,199,5,0,37,64,49,54,0,0
2019,New Brunswick,Nurse practitioners,139,18,4,121,6,6,2,0,0,1,3,0,15,84,22,22,135,0,0,1,1,2,130,9,0,43.8,3,57,37,31,8,3,0,0,133,6,0,20,68,27,24,0,0
2019,Quebec,Nurse practitioners,545,53,13,492,37,37,1,0,7,6,0,0,130,348,14,14,542,,0,0,0,3,495,50,0,38.3,23,337,146,33,6,0,0,0,540,5,0,114,327,82,22,0,0
2019,Ontario,Nurse practitioners,3451,314,92,3137,163,163,18,0,12,24,56,0,486,1860,791,791,3273,4,4,61,17,92,3221,230,0,45,74,1309,839,855,248,105,21,0,3272,178,1,873,1173,686,719,0,4
2019,Manitoba,Nurse practitioners,217,30,10,187,15,15,1,0,4,3,3,0,34,127,26,26,0,,0,0,0,0,195,22,0,43.3,3,86,74,46,4,2,2,0,213,4,0,46,94,47,30,0,0
2019,Saskatchewan,Nurse practitioners,236,19,18,217,10,10,0,0,2,6,10,0,32,116,69,69,232,2,0,1,0,1,217,19,0,46.4,8,73,60,60,27,7,1,0,227,9,0,143,82,10,1,0,2
2019,Alberta,Nurse practitioners,571,70,23,501,23,23,8,0,4,12,7,0,56,335,110,110,549,2,10,0,0,10,517,54,0,45.2,8,191,185,133,38,14,2,0,548,23,0,67,247,140,117,0,2
2019,British Columbia,Nurse practitioners,514,73,36,441,33,33,2,0,15,16,5,0,64,288,89,89,472,0,0,3,1,38,475,39,0,43.7,7,195,175,96,32,7,2,0,472,38,4,111,215,106,69,13,0
2019,Yukon,Nurse practitioners,10,2,2,8,0,0,0,0,0,1,1,0,0,6,2,2,10,0,0,0,0,0,9,1,0,45.5,0,4,4,0,1,1,0,0,9,1,0,2,5,1,2,0,0
2019,Northwest Territories/Nunavut,Nurse practitioners,47,7,0,40,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,41,6,0,51.9,0,9,10,13,8,0,0,0,0,0,0,6,10,9,22,0,0
2020,Newfoundland and Labrador,Nurse practitioners,191,21,11,170,7,7,3,0,3,4,4,0,26,108,36,36,189,0,0,2,0,0,166,25,0,45.2,1,67,52,60,6,4,1,0,190,1,0,32,68,52,39,0,0
2020,Prince Edward Island,Nurse practitioners,49,7,4,42,5,5,1,0,2,2,0,0,12,28,2,2,45,0,0,0,2,2,46,3,0,39.2,2,28,14,5,0,0,0,0,48,1,0,14,29,5,1,0,0
2020,Nova Scotia,Nurse practitioners,220,28,18,192,10,10,0,0,7,5,6,0,26,113,53,53,209,0,0,2,1,8,205,15,0,45.8,3,65,72,61,16,3,0,0,212,8,0,34,80,53,53,0,0
2020,New Brunswick,Nurse practitioners,148,13,5,135,6,6,3,0,1,3,1,0,14,97,24,24,144,0,0,1,2,1,139,9,0,44.2,1,59,46,28,8,6,0,0,141,7,0,22,71,26,29,0,0
2020,Quebec,Nurse practitioners,686,154,11,532,78,78,3,0,8,3,0,0,123,388,21,21,679,,0,0,0,7,620,66,0,38.5,30,405,201,42,7,1,0,0,678,8,0,150,411,98,27,0,0
2020,Ontario,Nurse practitioners,3681,322,96,3359,181,181,13,0,17,36,43,0,503,2028,828,828,3454,6,5,58,33,125,3426,255,0,44.8,81,1398,945,859,250,127,21,0,3486,194,1,925,1322,690,744,0,6
2020,Manitoba,Nurse practitioners,233,26,4,207,19,19,0,0,1,2,1,0,40,136,31,31,0,,0,0,0,0,208,24,1,42.7,9,91,72,50,6,3,2,0,229,4,0,50,102,48,33,0,0
2020,Saskatchewan,Nurse practitioners,240,22,14,218,9,9,1,0,6,4,4,0,26,128,64,64,226,0,0,1,1,12,220,20,0,46.1,7,79,62,58,26,7,1,0,231,8,1,146,81,12,1,0,0
2020,Alberta,Nurse practitioners,602,54,33,548,18,18,2,0,5,20,8,0,54,373,121,121,568,4,20,0,0,10,545,57,0,45.5,6,193,201,142,34,22,4,0,579,23,0,74,260,149,119,0,4
2020,British Columbia,Nurse practitioners,540,62,22,478,16,16,4,0,5,9,8,0,61,323,94,94,505,1,0,0,4,30,501,39,0,44.2,5,196,189,103,34,12,1,0,497,40,3,102,244,113,79,2,1
2020,Yukon,Nurse practitioners,14,6,0,8,3,3,1,0,0,0,0,0,0,7,1,1,14,0,0,0,0,0,11,3,0,42.3,0,7,5,1,1,0,0,0,14,0,0,6,3,4,1,0,0
2020,Northwest Territories/Nunavut,Nurse practitioners,79,0,15,0,0,0,0,0,0,6,9,0,0,0,23,23,0,0,0,0,0,23,68,11,0,50.9,0,21,10,23,16,0,0,0,72,0,0,41,24,0,0,3,0
2021,Newfoundland and Labrador,Nurse practitioners,207,27,12,180,14,14,0,0,5,4,3,0,29,112,39,39,205,0,0,2,0,0,177,30,0,44.8,2,76,55,61,7,5,1,0,206,1,0,41,70,57,39,0,0
2021,Prince Edward Island,Nurse practitioners,53,8,0,45,4,4,0,0,0,0,0,0,10,32,3,3,0,,0,0,0,0,50,3,0,40,2,25,18,8,0,0,0,0,53,0,0,14,33,4,2,0,0
2021,Nova Scotia,Nurse practitioners,240,38,12,202,13,13,0,0,4,6,2,0,24,123,55,55,228,0,0,0,0,12,219,21,0,45.5,6,73,74,67,16,4,0,0,232,8,0,38,89,58,55,0,0
2021,New Brunswick,Nurse practitioners,159,16,9,143,4,4,3,0,1,6,2,0,16,97,30,30,152,0,0,1,1,5,147,12,0,44.9,1,58,53,32,8,7,0,0,150,9,0,20,73,33,33,0,0
2021,Quebec,Nurse practitioners,946,271,16,675,150,150,3,0,7,4,5,0,156,490,29,29,939,,0,0,0,7,850,96,0,38.2,72,534,279,51,8,2,0,0,931,15,0,243,557,117,29,0,0
2021,Ontario,Nurse practitioners,3861,276,134,3585,143,143,14,0,10,58,66,0,508,2200,877,877,3649,4,4,55,36,113,3584,277,0,45.1,73,1426,1053,857,277,145,30,0,3645,215,1,971,1437,661,792,0,4
2021,Manitoba,Nurse practitioners,275,24,12,251,11,11,1,0,4,6,2,0,56,159,36,36,0,,0,0,0,0,0,0,0,0,6,109,88,60,8,3,1,0,268,7,0,66,120,55,34,0,0
2021,Saskatchewan,Nurse practitioners,260,34,12,226,12,12,2,0,1,6,5,0,26,135,65,65,240,1,0,6,1,12,234,26,0,46.1,5,87,71,58,25,11,3,0,252,7,1,156,84,19,1,0,1
2021,Alberta,Nurse practitioners,633,64,35,569,28,28,2,0,2,20,13,0,53,389,127,127,599,2,27,0,1,4,575,58,0,45.6,6,210,201,149,39,23,5,0,610,23,0,85,274,149,125,0,2
2021,British Columbia,Nurse practitioners,648,130,26,518,54,54,5,0,6,13,7,0,55,368,95,95,629,0,1,1,1,16,594,54,0,43.5,9,259,227,99,36,17,1,0,594,50,4,131,305,129,79,4,0
2021,Yukon,Nurse practitioners,24,10,7,14,4,4,1,0,4,3,0,0,3,10,1,1,22,0,0,0,0,2,22,2,0,42.6,0,13,8,1,1,0,1,0,22,2,0,9,7,6,2,0,0
2021,Northwest Territories/Nunavut,Nurse practitioners,94,30,13,64,10,10,5,0,0,0,8,0,7,28,29,29,61,0,0,0,0,28,82,12,0,48.8,0,30,20,20,15,0,0,0,89,5,0,47,28,13,6,0,0
2022,Newfoundland and Labrador,Nurse practitioners,231,36,0,195,21,21,2,0,0,0,0,0,25,127,43,43,229,1,0,1,0,0,197,34,0,44.5,5,85,58,69,9,2,3,0,230,1,0,49,77,61,44,0,1
2022,Prince Edward Island,Nurse practitioners,60,7,0,53,2,2,1,0,0,0,0,0,11,39,3,3,58,0,0,0,0,2,57,3,0,41.2,1,27,22,10,0,0,0,0,59,1,0,9,41,6,4,0,0
2022,Nova Scotia,Nurse practitioners,274,46,0,228,22,22,2,0,0,0,0,0,25,146,57,57,258,0,0,3,0,13,248,26,0,45.3,4,86,90,65,22,7,0,0,265,9,0,42,112,61,59,0,0
2022,New Brunswick,Nurse practitioners,171,21,0,150,11,11,1,0,0,0,0,0,11,104,35,35,161,0,0,2,3,5,159,12,0,44.7,3,60,60,33,6,9,0,0,161,10,0,23,83,28,37,0,0
2022,Quebec,Nurse practitioners,1183,253,0,930,159,159,2,0,0,0,0,0,252,648,30,30,1172,,0,0,0,11,1063,120,0,38,100,632,377,65,6,3,0,0,1164,19,0,333,682,136,32,0,0
2022,Ontario,Nurse practitioners,4135,408,0,3727,231,231,12,0,0,0,0,0,496,2332,899,899,3896,2,5,65,32,135,3812,322,1,44.8,91,1540,1164,850,300,151,39,0,3907,228,0,1173,1502,643,817,0,2
2022,Manitoba,Nurse practitioners,306,43,0,263,18,18,1,0,0,0,0,0,47,176,40,40,0,,0,0,0,0,245,35,26,43.1,6,123,96,69,8,1,3,0,297,9,0,51,148,63,44,0,0
2022,Saskatchewan,Nurse practitioners,279,31,0,248,7,7,1,0,0,0,0,0,27,156,65,65,263,0,0,5,0,11,254,25,0,46.1,2,96,79,62,22,13,5,0,271,8,0,158,101,18,1,1,0
2022,Alberta,Nurse practitioners,674,76,0,598,20,20,5,0,0,0,0,0,64,405,129,129,613,11,36,1,1,12,612,62,0,45.7,3,224,213,163,43,20,8,0,650,24,0,90,293,160,131,0,11
